,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,trading_date,prev_trading_date,sector
226,TWLO,6794.0,0.2568581151468852,-0.5034243028275791,0.07071092899969907,119062.0,570.6270682501554,BULLISH,2025-05-21,2025-05-20,Software
149,NSC,272.7534192624418,0.24650188513905125,-0.19551477425759667,0.04855674604823028,18908.0,144.2529190091188,BULLISH,2025-05-21,2025-05-20,Rail
25,BKNG,547.8091202653193,0.09548568365003224,-0.2377755460298302,0.04321047223078793,38110.0,143.74419319478332,BULLISH,2025-05-21,2025-05-20,Travel
148,NOW,1338.4105245933322,0.13271778664519715,-0.3420549179422687,-0.08264713353978631,99407.0,134.6394644837217,BULLISH,2025-05-21,2025-05-20,Software
31,BTI,2251.2495871408123,0.47485737051666604,-0.23376147625161586,0.2543885842553525,197805.0,113.81156124166792,BULLISH,2025-05-21,2025-05-20,Consumer Goods
72,DPZ,173.49397590361446,0.10382643680647184,-0.22690429040343799,-0.10382643680647184,22198.0,78.15748081071017,BULLISH,2025-05-21,2025-05-20,Restaurant
26,BLK,264.78242389106,0.19228934196881625,-0.19130192611528118,0.07462485698202415,35794.0,73.97396879115493,BULLISH,2025-05-21,2025-05-20,Financials
242,WGS,395.7446808510638,0.169701835699427,-0.7610893115202968,0.169701835699427,54573.0,72.51657062119799,BULLISH,2025-05-21,2025-05-20,Biotech
142,NBIS,1764.0897755610977,0.2713333036024639,-1.0203772978161227,0.2713333036024639,333286.0,52.93020935656156,BULLISH,2025-05-21,2025-05-20,Technology
184,ROOT,99.91415856281711,-0.0007280728263280979,-0.3568784188486845,-0.1450783338506723,25225.0,39.609180797945335,BULLISH,2025-05-21,2025-05-20,Insurance
178,RCL,444.6794958085895,0.24848398316929604,-0.2969813928021306,0.03657261011253053,138346.0,32.14256254670099,BULLISH,2025-05-21,2025-05-20,Cruise Lines
6,ACN,231.35593220338984,0.0554810388976954,-0.22909349345904745,0.0554810388976954,73357.0,31.53835792131492,BULLISH,2025-05-21,2025-05-20,Other
190,SE,894.5260347129506,0.14983685673583763,-0.494561884910673,0.14983685673583763,327363.0,27.325202747804443,BULLISH,2025-05-21,2025-05-20,E-Commerce
64,DE,139.4372524887181,0.14228291070277355,-0.2903453139837226,0.010512120353127048,74663.0,18.675549132598217,BULLISH,2025-05-21,2025-05-20,Heavy Equipment
123,LULU,283.2853303547063,0.0938163564819787,-0.39973290354803703,-0.05218114752874336,162078.0,17.478333293519558,BULLISH,2025-05-21,2025-05-20,Retail
232,UNP,174.19354838709674,0.27723923223139235,-0.18480174935480406,-0.27723923223139235,102149.0,17.052888269791847,BULLISH,2025-05-21,2025-05-20,Rail
251,XLK,573.9083031457737,0.30204452514133484,-0.29577237870771417,0.30204452514133484,383897.0,14.949538630043314,BULLISH,2025-05-21,2025-05-20,Technology
140,MSTR,2788.825732268465,0.013552493618072536,-0.6258795282492006,-0.00908820641648432,2283849.0,12.211077581173118,BULLISH,2025-05-21,2025-05-20,Crypto
125,LYV,84.97523390203631,0.10648525551633622,-0.19405955454967375,0.10648525551633622,73399.0,11.577165070646236,BULLISH,2025-05-21,2025-05-20,Entertainment
260,ZS,263.5667072305928,0.1796896052221336,-0.43200649406963043,0.1796896052221336,239736.0,10.99403957814399,BULLISH,2025-05-21,2025-05-20,Software
97,HON,186.85344827586204,0.10363474668655688,-0.2388520925664664,-0.10363474668655688,176783.0,10.5696502647801,BULLISH,2025-05-21,2025-05-20,Industrials
53,CRON,132.63157894736847,1.1239964317573599,-0.4986060070180085,1.1239964317573599,131034.0,10.1219209477974,BULLISH,2025-05-21,2025-05-20,Biotech
66,DHR,92.28299223712068,0.15457787644408824,-0.2659917762344846,-0.15457787644408824,93650.0,9.854030137439475,BULLISH,2025-05-21,2025-05-20,Life Sciences
15,APP,275.8234295415959,0.03669332959935589,-0.6728442530588681,-0.03669332959935589,287728.0,9.586256100956318,BULLISH,2025-05-21,2025-05-20,Software
88,GME,1088.422315536893,0.04964524336512009,-0.847219296871882,-0.04964524336512009,1235865.0,8.806967715218839,BULLISH,2025-05-21,2025-05-20,Retail
254,XLU,446.954445310191,-0.017572994823834735,-0.2540819576851097,-0.05840519392941513,634383.0,7.045498465598715,BULLISH,2025-05-21,2025-05-20,Utilities
252,XLP,298.1132075471698,0.16589494020432377,-0.24211947019446475,0.16589494020432377,424770.0,7.018226511928097,BULLISH,2025-05-21,2025-05-20,Consumer Staples
227,TXN,160.0,0.20591647331786542,-0.3062127581879158,-0.020301624129930394,234710.0,6.81692301137574,BULLISH,2025-05-21,2025-05-20,Semiconductor
208,SRPT,71.05263157894738,0.11941618752764266,-0.7416157016437435,0.11941618752764266,108213.0,6.5659977617243195,BULLISH,2025-05-21,2025-05-20,Biotech
175,QQQ,4645.099725786537,0.035951171527446715,-0.2568066245612514,0.035951171527446715,8689018.0,5.345943265149799,BULLISH,2025-05-21,2025-05-20,Index
235,V,125.32503141499018,0.07774505670905098,-0.23122743467132154,-0.043143153509184046,305007.0,4.10892312028872,BULLISH,2025-05-21,2025-05-20,Financials
18,AXP,74.24242424242425,0.07645975720126082,-0.2882623031660997,-0.07645975720126082,202700.0,3.662675098294241,BULLISH,2025-05-21,2025-05-20,Financials
131,MDB,63.38465519472118,0.04895953596847826,-0.45995878714137695,0.05345980879751852,194894.0,3.2522630350201225,BULLISH,2025-05-21,2025-05-20,Software
139,MSFT,456.37583662843247,0.027509390919673832,-0.3033463730797575,-0.006526600561397374,2176517.0,2.0968172388657313,BULLISH,2025-05-21,2025-05-20,Technology
14,ANET,98.18181818181819,0.07652518954155743,-0.4442324206716608,0.07652518954155743,505606.0,1.9418641824230365,BULLISH,2025-05-21,2025-05-20,Technology
169,PM,44.44444444444444,0.06683375104427736,-0.25447050769823115,-0.06683375104427736,237245.0,1.87335642245124,BULLISH,2025-05-21,2025-05-20,Consumer Goods
136,MRK,117.79530515608816,0.010740036121174598,-0.306627887151677,0.017022590960408236,686431.0,1.7160545656604693,BULLISH,2025-05-21,2025-05-20,Healthcare
147,NKE,284.5223903242587,0.05528666343703006,-0.37992019885310185,-0.05528666343703006,1676257.0,1.6973673507359475,BULLISH,2025-05-21,2025-05-20,Retail
9,AI,59.534883720930246,0.1305589555283558,-0.6920786635469136,0.1305589555283558,377046.0,1.5789819735769706,BULLISH,2025-05-21,2025-05-20,Software
46,COIN,176.04612237307043,0.0355648732066809,-0.7063392883944734,0.0355648732066809,1128232.0,1.5603716467275386,BULLISH,2025-05-21,2025-05-20,Crypto
87,GM,95.72409405402539,0.14681609517488556,-0.3623052335895936,-0.045425845823611345,700889.0,1.3657525521733882,BULLISH,2025-05-21,2025-05-20,Auto Manufacturing
259,ZM,32.43761996161228,0.04126923659238203,-0.39755475317413874,0.04126923659238203,245363.0,1.3220257317367443,BULLISH,2025-05-21,2025-05-20,Software
233,UPS,38.17422500175128,0.050229243423356947,-0.2934163283964458,-0.050229243423356947,381180.0,1.0014750249685525,BULLISH,2025-05-21,2025-05-20,Other
185,RTX,16.666666666666664,0.023946360153256702,-0.3201389542829579,0.023946360153256702,202991.0,0.8210544638268032,BULLISH,2025-05-21,2025-05-20,Aerospace
113,JNJ,33.88429752066116,0.048965747862227106,-0.2111453251006286,-0.048965747862227106,437912.0,0.7737695591959379,BULLISH,2025-05-21,2025-05-20,Healthcare
181,RIOT,89.1891891891892,0.18697943226245115,-1.0431845489028515,-0.18697943226245115,1168772.0,0.7631016929665425,BULLISH,2025-05-21,2025-05-20,Crypto
17,AVGO,152.5835866261398,0.022504953779666638,-0.33684741430227455,0.022504953779666638,2011666.0,0.7584936397301529,BULLISH,2025-05-21,2025-05-20,Semiconductor
7,ADBE,19.999999999999996,0.010952902519167577,-0.31595805508347224,-0.010952902519167577,296525.0,0.6744793862237585,BULLISH,2025-05-21,2025-05-20,Software
19,BA,70.0,0.0579950289975145,-0.4128788026706345,-0.0579950289975145,1149266.0,0.6090844069171105,BULLISH,2025-05-21,2025-05-20,Aerospace
145,NFLX,29.145577333926003,0.0065791370956943575,-0.42681118243935195,0.0065791370956943575,548087.0,0.5317691777751707,BULLISH,2025-05-21,2025-05-20,Streaming
29,BP,32.026143790849716,-0.07771040905813799,-0.3467879606796733,0.16812632225886132,627720.0,0.5101979193087638,BULLISH,2025-05-21,2025-05-20,Energy
207,SPY,622.1561135048696,0.019172827067655104,-0.21763445000858603,0.012832849998511921,15577200.0,0.3994017625150025,BULLISH,2025-05-21,2025-05-20,Index
182,RIVN,84.17462482946793,0.12792496174691176,-0.7882434792506441,0.12792496174691176,2561631.0,0.32859777551672326,BULLISH,2025-05-21,2025-05-20,EV
130,MCD,4.761904761904753,0.00529689072514433,-0.1833159747728596,-0.00529689072514433,192163.0,0.24780549647459463,BULLISH,2025-05-21,2025-05-20,Restaurant
45,CMG,22.37569060773479,0.014900257316088312,-0.18416487876317833,0.008013916373348235,1075737.0,0.20800335591073643,BULLISH,2025-05-21,2025-05-20,Restaurant
