,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date
53,U,35470119.08537966,36.49139761628467,0.08254239210662594,30.056636873030087,1108428.0,320003.8169856739,BULLISH,2025-05-16,2025-05-15
34,PDYN,157111.3254263229,18.819652576589032,-0.0662754451100419,13.46101440921965,6053.0,259559.434043157,BULLISH,2025-05-16,2025-05-15
42,SERV,1502927.0058306877,25.19428641607658,0.14100141507486974,18.465260566367075,91081.0,165009.9368507908,BULLISH,2025-05-16,2025-05-15
1,ACHR,7432592.187496481,23.263524848692374,0.1801443424290537,19.023609022999462,491523.0,151215.5522223066,BULLISH,2025-05-16,2025-05-15
7,COST,3651007.5423433804,10.041117808545597,-0.007298671538980385,1.092290382254727,249657.0,146240.94426927264,BULLISH,2025-05-16,2025-05-15
56,WGS,378629.6372620969,21.5182948193854,0.001674884418043281,13.13063286260159,42494.0,89101.90550715322,BULLISH,2025-05-16,2025-05-15
2,ADBE,2440390.4117282424,16.313073327480055,0.00872197903382151,5.9129769565668004,274416.0,88930.32518979367,BULLISH,2025-05-16,2025-05-15
26,MRNA,5153756.030978105,10.079235840628439,0.009365090180094529,3.0256405126936885,717398.0,71839.56508072374,BULLISH,2025-05-16,2025-05-15
13,ENVX,2709022.0060213218,11.546856053644516,-0.02703684084123881,7.140496946382472,430920.0,62866.00775135343,BULLISH,2025-05-16,2025-05-15
46,SPY,80644911.86819203,10.06081234701428,0.0001700310650199624,-3.749453036730277,14248222.0,56599.98269832688,BULLISH,2025-05-16,2025-05-15
32,NVAX,1301139.632047347,18.690460113157556,0.07253576785356569,8.292481205509,273527.0,47568.96511303626,BULLISH,2025-05-16,2025-05-15
40,RIOT,5341454.938331902,18.27668688289818,0.06262149369933796,7.758563072689497,1127773.0,47362.85527612296,BULLISH,2025-05-16,2025-05-15
49,TNA,983265.8285021888,11.123512450101972,-0.013831824386675734,6.603140220071,268384.0,36636.52932001121,BULLISH,2025-05-16,2025-05-15
23,MARA,6014641.341293368,11.053237094262412,0.02880056428108808,1.6138335495190956,1660014.0,36232.47358933941,BULLISH,2025-05-16,2025-05-15
64,XLRE,157767.43535592075,3.27749199988783,-0.029015666826036245,-0.7240363627172622,44736.0,35266.325857457254,BULLISH,2025-05-16,2025-05-15
51,TSLA,25168335.67254295,4.893996894956139,0.010659570828234979,2.5852913551575636,7373805.0,34132.087399304626,BULLISH,2025-05-16,2025-05-15
55,VKTX,484568.81348125706,10.422677873779346,0.032899059020085136,3.003089423294389,149579.0,32395.510966195594,BULLISH,2025-05-16,2025-05-15
66,XLV,1147426.65065699,12.044184173798971,-0.046961709094124046,4.326099013761775,373599.0,30712.7869897133,BULLISH,2025-05-16,2025-05-15
15,GOOGL,9272732.844727209,6.554401759498042,0.0076751376872374,1.8719113252888386,3103146.0,29881.7163121787,BULLISH,2025-05-16,2025-05-15
30,NBIS,670882.6593438111,11.343471347065877,0.0456668791721584,1.1204882095111284,255298.0,26278.41421961046,BULLISH,2025-05-16,2025-05-15
37,QQQ,18940073.751947686,6.050923865165743,0.0026267291437734193,-4.212930791115287,8041414.0,23553.16335155445,BULLISH,2025-05-16,2025-05-15
57,XBI,1411333.3809421018,7.841102647836062,-0.012740417891223025,2.0034409739352292,600325.0,23509.488709317484,BULLISH,2025-05-16,2025-05-15
65,XLU,1349045.8510139978,12.938596690736487,0.005758946525310647,2.8089345127938854,631221.0,21372.00522501624,BULLISH,2025-05-16,2025-05-15
50,TQQQ,1918351.4832169048,5.090502285483023,-0.011332016901890368,-1.352515097472379,904749.0,21203.13460658044,BULLISH,2025-05-16,2025-05-15
3,AMD,7108112.865169695,7.580907205469622,0.010238133049642101,0.06253345402940684,3501732.0,20298.84887012968,BULLISH,2025-05-16,2025-05-15
11,DIA,723144.2721042942,6.678182758069223,-0.0067120473989659545,-2.562198229336874,377281.0,19167.259207442043,BULLISH,2025-05-16,2025-05-15
63,XLP,670915.551371571,13.83793075730244,0.04398452918766607,3.4150663343624585,393857.0,17034.49605749221,BULLISH,2025-05-16,2025-05-15
20,JOBY,278431.78862358595,11.355501916611393,-0.023083660171750984,3.5592404157351822,174617.0,15945.285317213442,BULLISH,2025-05-16,2025-05-15
