,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,trading_date,prev_trading_date,sector
28,NBIS,11292.442333785619,0.6981146397699994,-0.9986016691792093,0.6981146397699994,255298.0,442.3239639082804,BULLISH,2025-05-16,2025-05-15,Technology
35,RBLX,10061.047924034263,0.7143884882270926,-0.2750949564676944,0.7275403889196873,893411.0,112.61388010707574,BULLISH,2025-05-16,2025-05-15,Gaming
49,U,9464.237369187638,0.31089309047166364,-0.28381367757594334,0.2862155568302464,1108428.0,85.38432238438256,BULLISH,2025-05-16,2025-05-15,Software
61,XLU,2586.7757320215505,0.20029285835845803,-0.22228502490264443,0.20029285835845803,631221.0,40.98050812665534,BULLISH,2025-05-16,2025-05-15,Utilities
50,V,1160.1400012570261,0.05155431003509405,-0.22315165523374672,-0.05155431003509405,285171.0,40.68225735635903,BULLISH,2025-05-16,2025-05-15,Financials
29,NOW,365.8917406925387,0.08165843568585533,-0.3296544126129625,0.04666162773678299,91172.0,40.132029646441744,BULLISH,2025-05-16,2025-05-15,Software
7,COST,479.223048842475,0.05954217667586613,-0.25784044299014147,-0.021157039559541974,246112.0,19.47174655614009,BULLISH,2025-05-16,2025-05-15,Retail
10,DIA,706.7508610792194,0.050811431408446336,-0.16681573881504078,-0.050811431408446336,377281.0,18.7327445877004,BULLISH,2025-05-16,2025-05-15,Index
60,XLRE,69.46277441643666,0.2005634054549184,-0.2345275264146593,-0.2005634054549184,44736.0,15.527265382787164,BULLISH,2025-05-16,2025-05-15,Real Estate
15,GS,296.0210684725358,0.10531450674685974,-0.26280077367563465,-0.010742412174765162,243959.0,12.13404992119724,BULLISH,2025-05-16,2025-05-15,Financials
23,META,1716.2003917423945,0.08410567503742929,-0.34980428755574366,0.06269804432126573,1909622.0,8.98712096814131,BULLISH,2025-05-16,2025-05-15,Technology
46,TQQQ,731.6639598473291,0.11343091342978422,-0.7494666635546332,0.04732551587729097,904749.0,8.086927532910556,BULLISH,2025-05-16,2025-05-15,Leveraged Index
2,ADBE,184.95502861815206,0.036873012084958544,-0.2889691909862135,0.036873012084958544,274416.0,6.739950608497757,BULLISH,2025-05-16,2025-05-15,Software
36,RDDT,217.40064446831352,0.010732654249028115,-0.6499138408771775,-0.010732654249028115,380811.0,5.708885627471725,BULLISH,2025-05-16,2025-05-15,Social Media
53,XBI,334.3247515288828,-0.02016916056972344,-0.2379664836994004,0.02016916056972344,600325.0,5.569062616564075,BULLISH,2025-05-16,2025-05-15,Biotech
58,XLK,111.72413793103448,0.04010198777136916,-0.27312214266429935,-0.04010198777136916,375536.0,2.975057995266352,BULLISH,2025-05-16,2025-05-15,Technology
42,SPY,3883.827892664275,0.024999073620732264,-0.216835754155871,-0.024999073620732264,14248222.0,2.7258333654994114,BULLISH,2025-05-16,2025-05-15,Index
20,MA,24.644225506294458,0.20450312112828414,-0.2186837439903772,0.20450312112828414,124789.0,1.974871623804539,BULLISH,2025-05-16,2025-05-15,Financials
57,XLI,249.33999217863482,0.1389855028866415,-0.24046574818775937,0.08545652979034653,1324354.0,1.882729181009268,BULLISH,2025-05-16,2025-05-15,Industrials
