,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
35,PLTR,392194636.9892929,45.945845144243975,0.006866960639653239,24.67217899584741,3821522.0,102.62786318887943,BULLISH,Software
28,MSTR,161999169.44469696,16.537785921332258,0.01900777219856747,7.310593413123074,2205524.0,73.45155593169558,BULLISH,Crypto
61,XLI,29373961.36312928,11.832051811326124,-0.18136272056846248,3.686023528138108,821396.0,35.76102314003146,BULLISH,Industrials
51,TSLA,236718035.60575646,14.2779888920323,0.03444915819663466,5.00298108952654,8644875.0,27.382470608974273,BULLISH,EV
50,TQQQ,29456309.8139618,20.196644355646704,0.04089966744220982,5.096237457014547,1141492.0,25.805095273520795,BULLISH,Leveraged Index
12,DIS,19039855.999428686,24.513841744782493,-0.0026862075548403186,7.508527688930819,977386.0,19.48038543567095,BULLISH,Entertainment
27,MSFT,39860316.533355586,10.859151489194794,-0.005593524301233262,-0.34424498406451315,2262156.0,17.62049855684382,BULLISH,Technology
49,TNA,5523287.499560615,20.83634991852456,-0.03405418209546233,7.338196297255254,318711.0,17.33008116933716,BULLISH,Leveraged Index
10,CVNA,5939801.196813845,26.615567235236014,-0.12776497592568486,-8.469521499053933,380736.0,15.600839418426009,BULLISH,Auto Retail
46,SPY,259411047.33988094,17.61430378352783,-0.005170980668354298,-0.5494536180345013,16653732.0,15.576751645810138,BULLISH,Index
37,QQQ,114084920.65230307,15.032708325585958,-0.004597343874860642,0.1351543767649044,8842315.0,12.902155222054752,BULLISH,Index
40,RIOT,14073037.248543033,23.338544477804824,-0.08819966620831449,10.361775883443512,1296889.0,10.851381458662255,BULLISH,Crypto
23,MARA,20364016.663117584,18.915911729758154,-0.042682643071089994,7.621737688375522,1878211.0,10.842241187554318,BULLISH,Crypto
17,GS,2794400.6740091927,15.09128354305661,-0.019257644193292133,3.5915449108252693,286521.0,9.752865144297251,BULLISH,Financials
25,META,16818205.29998991,6.8960796836925855,-0.005900881289172727,-1.936800731597612,2194720.0,7.663030044830278,BULLISH,Technology
4,AMZN,30046496.000109304,10.87457634276433,-0.015191413468060631,0.9754381657362206,4306573.0,6.976892299308361,BULLISH,Other
11,DIA,2717423.702730798,11.21077653188613,-0.017848613652943365,0.5723470254161083,394709.0,6.884625642513341,BULLISH,Index
21,JPM,4642754.278510367,9.950040731056982,-0.03462019795890476,1.6053396712856778,815636.0,5.692189013862025,BULLISH,Financials
19,IWM,61071855.64997856,18.643790143205297,-0.006178384235981081,2.8948319506962306,12033300.0,5.07523752004675,BULLISH,Index
42,SERV,398988.41019470105,6.960032093881094,-0.2586859388087951,5.030019317964917,86404.0,4.617707631529802,BULLISH,Services
14,FSLR,2331521.671879279,13.2827524773639,-0.005939610673882984,8.3087324465574,519157.0,4.49097608599957,BULLISH,Clean Energy
32,NVAX,1260830.691446031,67.64280090473852,-0.37767307050717425,51.36911857226749,283409.0,4.448802583707755,BULLISH,Biotech
15,GOOGL,13837531.996720837,7.828470038441583,-0.0627657421158606,-4.355083372673509,3166701.0,4.369699569590194,BULLISH,Technology
5,BAC,11423495.737014476,13.665953697664735,-0.014739486612237934,2.064563874440331,3069808.0,3.721241112478199,BULLISH,Financials
6,CAVA,471560.49190401786,6.661679058827122,-0.005799792118739411,-0.8105504772803236,173881.0,2.7119725093829565,BULLISH,Restaurant
0,AAPL,13649934.591085127,6.049461123805169,-0.037763077995493784,-2.382616765324109,5189677.0,2.6302088918221935,BULLISH,Technology
41,ROKU,610151.0678813882,8.422001489753018,-0.03774008628165005,1.1231333609077998,234833.0,2.5982339274351913,BULLISH,Technology
24,MBLY,835557.1555088235,24.87068736702346,-0.09995904925344053,15.44962306930439,346287.0,2.412903618988941,BULLISH,Automotive Tech
3,AMD,9251499.727695653,14.254957662212947,-0.028226802983731595,-0.6183619397793281,3896051.0,2.3745838357084272,BULLISH,Semiconductor
29,MU,4246437.685110533,17.158478569375742,-0.029880587932368398,0.730921680095925,1995132.0,2.128399366613604,BULLISH,Semiconductor
22,MA,257130.0598179926,7.757841358004005,-0.023795217356880505,-1.542954002491813,138378.0,1.8581715288412362,BULLISH,Financials
39,RDDT,779584.0498373138,6.386461569946541,-0.02470007320061013,-1.960358669978031,421685.0,1.8487355486614745,BULLISH,Social Media
30,NBIS,652527.9736093307,13.046718489722142,-0.07482412235879086,0.5312633376498463,383589.0,1.7011123197206663,BULLISH,Technology
1,ACHR,811806.3224114348,10.332854441131639,-0.10736935706876766,5.647191627393882,514210.0,1.578744719883773,BULLISH,eVTOL
54,V,518290.4320299156,7.072793793520183,-0.012775348847695865,-2.1994917690986697,328605.0,1.5772445094563856,BULLISH,Financials
67,XLY,541613.308876156,6.398647553072486,-0.12903510528218004,-0.5830345900024883,347451.0,1.5588192547327708,BULLISH,Consumer Discretionary
34,PDYN,8793.045343215554,2.818087675078308,-0.15440756287250318,-0.7178249044073522,6715.0,1.3094631933306855,BULLISH,Technology
57,XBI,871269.0488399301,0.7222324648692038,-0.029845372320890434,-0.36925384899797437,720619.0,1.209056448469899,BULLISH,Biotech
62,XLK,437389.28782212926,7.527215989381758,-0.063581507437526,0.116204949473376,389976.0,1.1215800147243145,BULLISH,Technology
59,XLE,2460631.8134789453,13.582019043682362,-0.10362874223905714,5.096706005993676,2452585.0,1.0032809519258028,BULLISH,Energy
60,XLF,4791919.187483433,7.30819394138178,-0.14271813745758685,-0.37813443917601497,5319754.0,0.9007783419089366,BULLISH,Financials
13,ENVX,317753.3893695221,5.832644291788817,-0.3649701909653021,3.525631007484221,425558.0,0.7466746938596434,BULLISH,Clean Energy
