,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
43,SGI,614.8037258815702,0.7276160147897588,-0.27334911766925846,-0.01453835331880765,15165.0,0.040540964449823295,BULLISH,Technology
31,NOW,2373.358348968105,0.04429584559644103,-0.4292732704666815,0.002363719289584056,113545.0,0.02090235896752922,BULLISH,Software
8,CPRT,189.64705882352942,0.20978656949505467,-0.2670102037547964,-0.20978656949505467,40748.0,0.004654143978195971,BULLISH,Auto Services
17,GS,363.9970948452283,0.03999505621675982,-0.3198521591267113,-0.14936284542491388,286521.0,0.0012704028495126999,BULLISH,Financials
10,CVNA,442.73064097277984,0.10607556295809988,-0.9546842030148909,0.053761531226119694,380736.0,0.0011628284190955934,BULLISH,Auto Retail
36,PM,237.044638276039,0.03635653961288941,-0.32490752499890474,0.03635653961288941,234299.0,0.0010117185232375683,BULLISH,Consumer Goods
28,MSTR,1619.8090679755035,0.025146426414798258,-0.6581027939016272,0.0006804784689387173,2205524.0,0.0007344327551980861,BULLISH,Crypto
11,DIA,132.67074068291814,-0.023108453466269278,-0.21560153779483746,0.023108453466269278,394709.0,0.00033612291759984735,BULLISH,Index
7,COST,91.11111111111111,0.018106341635753403,-0.32215513649993555,-0.018106341635753403,276669.0,0.0003293144917251702,BULLISH,Retail
65,XLU,220.43252142028666,0.058261663777322,-0.3196395790464248,-0.03513296800447659,683227.0,0.0003226343827458321,BULLISH,Utilities
30,NBIS,119.7802197802198,0.06406010269997908,-1.051112759735249,0.06406010269997908,383589.0,0.00031226187346409775,BULLISH,Technology
25,META,457.3499292567654,0.03251558363731294,-0.4064579359830335,0.035104640022170626,2194720.0,0.00020838645898190448,BULLISH,Technology
27,MSFT,302.52659574468083,0.011494171570846536,-0.3418813856152126,-0.011494171570846536,2262156.0,0.00013373374592410108,BULLISH,Technology
61,XLI,99.61089494163426,0.09670960673945074,-0.4221367119386543,0.09670960673945074,821396.0,0.00012127024594913325,BULLISH,Industrials
46,SPY,1426.8602893940708,0.01975529280780579,-0.2602626775177742,0.006793136602287674,16653732.0,8.5678110431588e-05,BULLISH,Index
21,JPM,25.428571428571434,0.0170090778786431,-0.3493042693172187,-0.0170090778786431,815636.0,3.1176372093153606e-05,BULLISH,Financials
14,FSLR,13.47826086956522,0.010096075557726757,-0.5062030737823601,0.010096075557726757,519157.0,2.5961820546704023e-05,BULLISH,Clean Energy
37,QQQ,136.9463064956364,0.008601219369941194,-0.2608670413836382,-0.008415929988072748,8842315.0,1.548760776964363e-05,BULLISH,Index
12,DIS,11.29032258064516,0.11409404341808299,-0.4138341650409919,0.09029989677815643,977386.0,1.155154931689748e-05,BULLISH,Entertainment
33,NVDA,58.513931888544896,0.0010152323528444878,-0.4570798780146545,0.0010152323528444878,22484858.0,2.602370532584413e-06,BULLISH,Semiconductor
67,XLY,0.0,0.0,-0.4451685516271563,0.0,347451.0,0.0,BEARISH,Consumer Discretionary
2,ADBE,0.0,0.0,-0.32085846871615353,0.0,312482.0,0.0,BEARISH,Software
1,ACHR,0.0,0.0,-1.2902234390034648,0.0,514210.0,0.0,BEARISH,eVTOL
0,AAPL,0.0,0.0,-0.43249316795671594,0.0,5189677.0,0.0,BEARISH,Technology
26,MRNA,0.0,0.0,-0.7769782701036173,0.0,821919.0,0.0,BEARISH,Biotech
24,MBLY,0.0,0.0,-0.7863863622987474,0.0,346287.0,0.0,BEARISH,Automotive Tech
4,AMZN,0.0,0.0,-0.4054816278972482,0.0,4306573.0,0.0,BEARISH,Other
