,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,trading_date,prev_trading_date,sector
25,BKNG,1699.6454167988704,0.2571487153095503,-0.2446300762639368,0.2032214994601478,38354.0,443.1468469517835,BULLISH,2025-05-20,2025-05-19,Travel
213,TEM,12185.561019679144,0.7095851218210104,-0.3131582315220688,0.3990411456237108,283931.0,429.1733209716144,BULLISH,2025-05-20,2025-05-19,Software
241,WGS,2224.062015503876,0.45512561700788445,-0.8558188958401151,0.45512561700788445,53159.0,418.3792049331019,BULLISH,2025-05-20,2025-05-19,Biotech
72,DPZ,795.3681121456344,0.1462415267550696,-0.12709441662814072,-0.1393564393848365,21602.0,368.1918860039045,BULLISH,2025-05-20,2025-05-19,Restaurant
51,CRDO,1432.2520864296932,0.7904960518003047,-0.0989363487477857,0.15282046815937048,56390.0,253.99043916114442,BULLISH,2025-05-20,2025-05-19,Semiconductor
26,BLK,801.4818321603235,0.24214447973797543,-0.19555080950263973,-0.14103229022408675,35776.0,224.0277929786235,BULLISH,2025-05-20,2025-05-19,Financials
180,RIO,3824.999999999999,0.0718390804597701,-0.19006808157909874,-0.0718390804597701,198759.0,192.44411573815523,BULLISH,2025-05-20,2025-05-19,Mining
31,BTI,2923.364485981308,0.11430108249848718,-0.23374590242234922,-0.11430108249848718,182519.0,160.16768040485144,BULLISH,2025-05-20,2025-05-19,Consumer Goods
234,V,3337.745660836091,0.08622249901355615,-0.23533169579450972,0.04123910317878339,290498.0,114.89737143925574,BULLISH,2025-05-20,2025-05-19,Financials
176,QSR,235.2941176470588,0.18310826276035705,-0.09029688602432666,0.18310826276035705,30699.0,76.64553166131105,BULLISH,2025-05-20,2025-05-19,Restaurant
144,NET,1175.1441727520266,0.14562327769705574,-0.5781158817429688,-0.010583708970513542,172716.0,68.03910307973938,BULLISH,2025-05-20,2025-05-19,Software
223,TTD,3369.3340794627857,0.01961766567372801,-0.6431669750082357,-0.01961766567372801,546514.0,61.65137726504326,BULLISH,2025-05-20,2025-05-19,Software
111,JACK,94.15807560137458,0.16865895051968036,-0.4398357788085938,0.6493369595007696,15563.0,60.50123729446416,BULLISH,2025-05-20,2025-05-19,Restaurant
185,RTX,1108.695652173913,0.08515693293418436,-0.2945098774024262,0.021039968615041017,191920.0,57.76863548217553,BULLISH,2025-05-20,2025-05-19,Aerospace
42,CLS,506.5573770491804,0.09713468399792528,-0.6250106124512188,0.09713468399792528,102154.0,49.5876203623138,BULLISH,2025-05-20,2025-05-19,Technology
99,HSBC,399.8744822392369,0.73042577731863,-0.347930306035121,-0.6377148247838281,86772.0,46.08335433541198,BULLISH,2025-05-20,2025-05-19,Financials
83,FTNT,664.7973920294702,0.13092554433352477,-0.34651113202237743,-0.13092554433352477,149981.0,44.32544069111889,BULLISH,2025-05-20,2025-05-19,Software
190,SE,1314.6401626873762,0.15391124082892163,-0.5181659574012182,0.08288275393144034,319077.0,41.20134521408238,BULLISH,2025-05-20,2025-05-19,E-Commerce
48,COST,1058.118885631432,0.030508331475906113,-0.280729247496491,0.030508331475906113,263797.0,40.11110382723959,BULLISH,2025-05-20,2025-05-19,Retail
148,NOW,357.6170082594066,0.09100052252226483,-0.3371832451496825,0.09100052252226483,94421.0,37.874732131560414,BULLISH,2025-05-20,2025-05-19,Software
121,LMT,297.9450632810317,0.13926344424039896,-0.2158581754536612,-0.13926344424039896,94800.0,31.428804143568744,BULLISH,2025-05-20,2025-05-19,Aerospace
7,ADBE,697.008920676955,0.20132416620755947,-0.3118604970353326,0.14124673873160185,289476.0,24.078297360643194,BULLISH,2025-05-20,2025-05-19,Software
204,SPGI,64.86151302190987,0.09279186412290397,-0.1501664187785791,-0.09279186412290397,29040.0,22.335231756856018,BULLISH,2025-05-20,2025-05-19,Business Services
102,IBM,539.9999999999999,0.19210245464247597,-0.3229144625628135,0.19210245464247597,274707.0,19.65730760410182,BULLISH,2025-05-20,2025-05-19,Other
134,MMM,290.62499999999994,0.11828449328449327,-0.30461545309679267,0.11828449328449327,172565.0,16.841480022020686,BULLISH,2025-05-20,2025-05-19,Industrials
245,XBI,1032.6323076323074,-0.05375495139274668,-0.24938835523998829,-0.02061075289421743,616850.0,16.740411893204303,BULLISH,2025-05-20,2025-05-19,Biotech
140,MSTR,3097.389903304112,0.04320152728360934,-0.6249321107145654,-0.017660290824752074,2198767.0,14.086940104631879,BULLISH,2025-05-20,2025-05-19,Crypto
205,SPHR,42.225913621262464,0.2090391763428835,-0.4738590287161346,-0.2090391763428835,30884.0,13.67242378618782,BULLISH,2025-05-20,2025-05-19,Technology
123,LULU,203.28767123287673,0.07137909804525167,-0.3911253173141801,0.07137909804525167,161058.0,12.622016368816,BULLISH,2025-05-20,2025-05-19,Retail
138,MS,731.8369213183463,0.12977077800890752,-0.30764909893093123,0.07669228636329165,590892.0,12.385290735334822,BULLISH,2025-05-20,2025-05-19,Financials
59,CVNA,442.81777873232454,0.17618609767555798,-0.6779416605513146,0.17618609767555798,358470.0,12.352994078509347,BULLISH,2025-05-20,2025-05-19,Auto Retail
56,CRWV,296.09120521172633,0.09619597310322493,-1.2923480427756504,0.09619597310322493,255880.0,11.57148683803839,BULLISH,2025-05-20,2025-05-19,Technology
125,LYV,82.0,0.20551378446115287,-0.20075882029865616,-0.20551378446115287,71133.0,11.527701629342218,BULLISH,2025-05-20,2025-05-19,Entertainment
