,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date,sector
1,ACHR,12013925.360669602,30.322015558682484,0.36041671818659854,18.733170826328124,540870.0,222122.23566974694,BULLISH,2025-05-15,2025-05-14,eVTOL
45,SPHR,408571.8106186587,5.78625184608749,0.22315952881916265,2.5068873096929805,45647.0,89506.82643298765,BULLISH,2025-05-15,2025-05-14,Technology
15,GOOGL,28787426.565196317,19.0733582561488,0.06417076890932391,11.007284027230686,3488127.0,82529.7546941276,BULLISH,2025-05-15,2025-05-14,Technology
21,JPM,6380800.279835276,14.648646229508099,0.04111646440384346,6.666758519463857,820834.0,77735.574791435,BULLISH,2025-05-15,2025-05-14,Financials
38,RBLX,3569120.0520217456,23.171959874316553,0.09054593876760576,16.470330902310405,462937.0,77097.31674119255,BULLISH,2025-05-15,2025-05-14,Software
33,NVDA,165677381.58493245,8.105152517995496,0.048265055544682536,3.1664030929150746,22404828.0,73947.17852104575,BULLISH,2025-05-15,2025-05-14,Semiconductor
36,PM,1684862.9239467583,13.54530451563577,0.04002240603664663,9.197841556243226,245740.0,68562.82753913723,BULLISH,2025-05-15,2025-05-14,Consumer Goods
46,SPY,112094208.61963148,7.30652908184342,0.019200015953287002,-4.751929953269396,16989097.0,65980.08629866054,BULLISH,2025-05-15,2025-05-14,Index
54,V,2016931.222759246,11.298683152368937,0.03964967887495122,0.597536856600668,328531.0,61392.41723792414,BULLISH,2025-05-15,2025-05-14,Financials
51,TSLA,44286765.37758535,9.691491415601428,0.006345518487222985,3.366953063825174,8641634.0,51248.13823124811,BULLISH,2025-05-15,2025-05-14,EV
37,QQQ,46881378.04636156,9.663700848500792,0.014929759659400776,-2.509997236718419,9361637.0,50078.1840252528,BULLISH,2025-05-15,2025-05-14,Index
50,TQQQ,4958081.248712679,7.429878535216666,0.15570759252494662,1.7829475004728736,1152310.0,43027.321195795215,BULLISH,2025-05-15,2025-05-14,Leveraged Index
3,AMD,14143025.55380113,17.745280586278234,0.04044284152528242,6.503798861485042,3886264.0,36392.34378776411,BULLISH,2025-05-15,2025-05-14,Semiconductor
10,CVNA,1138170.4490221278,7.310476012957471,0.037913090590473465,6.74878854767641,369122.0,30834.533000529034,BULLISH,2025-05-15,2025-05-14,Auto Retail
42,SERV,262313.33381882554,12.869298728429447,0.15789302142848738,3.8561393718666666,91644.0,28623.077759463307,BULLISH,2025-05-15,2025-05-14,Services
17,GS,796428.8167796865,14.60595973451034,0.031086870652953444,4.527351674737075,294592.0,27034.97775838062,BULLISH,2025-05-15,2025-05-14,Financials
56,WGS,139244.0275486321,1.8360371225330465,0.10448070200508885,-3.096575530134351,54568.0,25517.524473800047,BULLISH,2025-05-15,2025-05-14,Biotech
39,RDDT,927662.9892847969,19.668401893125104,0.07855985452682676,12.35041311151243,406679.0,22810.69318270176,BULLISH,2025-05-15,2025-05-14,Social Media
27,MSFT,5023473.618294991,10.940611643563317,0.04980982318477638,1.3256346031034703,2348390.0,21391.13868776051,BULLISH,2025-05-15,2025-05-14,Technology
2,ADBE,652347.9605706149,6.943028717125414,0.06305382257997925,1.3637751251978165,323091.0,20190.842845223633,BULLISH,2025-05-15,2025-05-14,Software
63,XLP,897887.6261095629,6.759927899848924,0.03479247940613793,0.3600779722219905,471947.0,19025.179227954897,BULLISH,2025-05-15,2025-05-14,Consumer Staples
22,MA,231510.71121300696,6.1087196187120965,0.04872488087903144,-0.8902134707849704,140791.0,16443.573183868783,BULLISH,2025-05-15,2025-05-14,Financials
7,COST,374709.13905945787,5.243162674885734,0.023070002421931864,-1.5181519513891863,270774.0,13838.446049452969,BULLISH,2025-05-15,2025-05-14,Retail
65,XLU,844986.0400281297,6.6333575693490525,0.004985155727386472,0.29503255329822564,656345.0,12874.114071534479,BULLISH,2025-05-15,2025-05-14,Utilities
64,XLRE,63872.3087503358,0.444741422463615,0.1536704094481468,-0.5818541434559067,55567.0,11494.64767763885,BULLISH,2025-05-15,2025-05-14,Real Estate
14,FSLR,560923.642457319,0.7551209533958272,0.008943172077239693,4.968369054251823,608759.0,9214.215189546585,BULLISH,2025-05-15,2025-05-14,Clean Energy
9,CSIQ,73169.46883858184,2.975214678866312,0.029293596285306492,-6.575292916270306,80451.0,9094.911043813234,BULLISH,2025-05-15,2025-05-14,Clean Energy
5,BAC,2823017.396108987,5.407624816141603,0.06169719961848634,2.3059698395424997,3130779.0,9016.980745395913,BULLISH,2025-05-15,2025-05-14,Financials
43,SGI,14853.858565747656,5.119153096201946,0.06561322607608241,0.7957593364798097,17990.0,8256.730720259953,BULLISH,2025-05-15,2025-05-14,Technology
12,DIS,799036.6504108285,6.351052828153874,0.04739302606314421,1.3106321541499544,983441.0,8124.906836412439,BULLISH,2025-05-15,2025-05-14,Entertainment
67,XLY,254563.09967150024,7.482208506299146,0.08880266156586558,2.956673985870223,353289.0,7205.5201172835905,BULLISH,2025-05-15,2025-05-14,Consumer Discretionary
11,DIA,260963.27134814212,2.386784337568492,0.03203815638237179,-2.21474142045034,413804.0,6306.446321160311,BULLISH,2025-05-15,2025-05-14,Index
8,CPRT,17981.54390387802,2.0359649004578957,0.07850587614249357,-1.4028375185108217,42267.0,4254.274943544141,BULLISH,2025-05-15,2025-05-14,Auto Services
62,XLK,156714.02280114425,8.664956583666514,0.0555148791946257,3.673301229214143,392950.0,3988.141565113736,BULLISH,2025-05-15,2025-05-14,Technology
