,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,trading_date,prev_trading_date,sector
39,RDDT,100171147.49875511,74.92914248630022,-0.6701494362078187,55.987043584259645,406679.0,2463150.2363966447,BULLISH,2025-05-15,2025-05-14,Social Media
3,AMD,263842699.83054897,33.48091561491437,-0.4655396327673938,20.36127604735497,3886264.0,678910.9021686355,BULLISH,2025-05-15,2025-05-14,Semiconductor
15,GOOGL,143968350.68813673,23.789714876750523,-0.35542213290925406,14.219324104476422,3488127.0,412738.27096357656,BULLISH,2025-05-15,2025-05-14,Technology
10,CVNA,9814761.455111422,22.590002055169986,-0.7215847964524272,17.755486081310217,369122.0,265894.784247794,BULLISH,2025-05-15,2025-05-14,Auto Retail
33,NVDA,489233342.6495717,9.718170701632747,-0.4189764120608511,4.730004065108657,22404828.0,218360.6777296267,BULLISH,2025-05-15,2025-05-14,Semiconductor
51,TSLA,183315376.61184898,13.681950895992237,-0.730688537564651,6.499641475617261,8641634.0,212130.45659171516,BULLISH,2025-05-15,2025-05-14,EV
1,ACHR,11376670.326388624,22.631622804670332,-1.2784480020463296,17.14764610405503,540870.0,210340.19868708975,BULLISH,2025-05-15,2025-05-14,eVTOL
27,MSFT,21461289.17824381,7.317156536458721,-0.31060128198795844,3.88897929715806,2348390.0,91387.24478576305,BULLISH,2025-05-15,2025-05-14,Technology
38,RBLX,4137380.7233268614,16.485879962242233,-0.6394394108672572,6.499172971183256,462937.0,89372.43563005034,BULLISH,2025-05-15,2025-05-14,Software
50,TQQQ,5512804.876873792,3.427368600252377,-0.8094841412092062,5.210702624615058,1152310.0,47841.3350302765,BULLISH,2025-05-15,2025-05-14,Leveraged Index
12,DIS,4323168.487327831,7.051323145822963,-0.42342706192284824,6.065679170543343,983441.0,43959.612089874536,BULLISH,2025-05-15,2025-05-14,Entertainment
21,JPM,3290178.9406330474,8.63587678596933,-0.30769173554910895,2.5552333561287757,820834.0,40083.36570650153,BULLISH,2025-05-15,2025-05-14,Financials
35,PLTR,13120575.763257902,4.873005871065579,-0.8415137966740444,-0.6200087011348523,3635986.0,36085.33081056391,BULLISH,2025-05-15,2025-05-14,Software
30,NBIS,1324104.7819773024,5.062900195579778,-1.1892290339438258,2.6576508300806956,406809.0,32548.561658599057,BULLISH,2025-05-15,2025-05-14,Technology
37,QQQ,28690455.410627685,6.580359896414846,-0.2509005720412826,0.6610027691912626,9361637.0,30646.836029454767,BULLISH,2025-05-15,2025-05-14,Index
17,GS,800768.665090834,7.448349533831175,-0.2933149307708467,2.826278034461031,294592.0,27182.29500769994,BULLISH,2025-05-15,2025-05-14,Financials
5,BAC,8343156.623161845,9.002394354385752,-0.33862711762049136,4.592974804371784,3130779.0,26648.820064149673,BULLISH,2025-05-15,2025-05-14,Financials
14,FSLR,1429821.8480942585,1.24481211527914,-0.7005365978301701,7.229182576449364,608759.0,23487.485985328487,BULLISH,2025-05-15,2025-05-14,Clean Energy
34,PDYN,16064.944719413776,3.1688452648861727,-1.6589030896465595,0.10152919598134119,7698.0,20868.985086274064,BULLISH,2025-05-15,2025-05-14,Technology
16,GRAB,1569170.8916240083,9.983922885693545,-1.6608473618607955,9.418195422333982,1000703.0,15680.685394407814,BULLISH,2025-05-15,2025-05-14,Rideshare
25,META,2987034.270842424,2.612480152323966,-0.40150619424349154,0.2763889677185968,2170508.0,13761.91320576761,BULLISH,2025-05-15,2025-05-14,Technology
