,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
58,XLB,0.0,0.0,-0.35802314208984376,0.0,539450.0,0.0,BEARISH,Materials
56,WGS,0.0,0.0,-1.0244266308374383,0.0,32655.0,0.0,BEARISH,Biotech
43,SGI,0.0,0.0,-0.25334980268405594,0.0,19221.0,0.0,BEARISH,Technology
52,TSM,0.0,0.0,-0.41969675463604406,0.0,1954608.0,0.0,BEARISH,Semiconductor
11,DIA,-6.738281249999995,-0.002620879521586929,-0.19000407564196592,-0.002620879521586929,366781.0,-1.8371402144603985e-05,BEARISH,Index
39,RDDT,-38.683562212329264,-0.04195477582365726,-0.6568183621338076,0.04195477582365726,378828.0,-0.00010211378834808743,BEARISH,Social Media
13,ENVX,-50.82872928176795,-0.14158420412748732,-1.1918837198734549,0.14158420412748732,419717.0,-0.00012110238394386682,BEARISH,Clean Energy
26,MRNA,-133.38432122370938,-0.09380050718966904,-0.6089140002750445,0.09380050718966904,796941.0,-0.00016737038403559281,BEARISH,Biotech
0,AAPL,-861.6869770225323,-0.03114616574069485,-0.3892007561181409,0.010592893339404703,4896943.0,-0.00017596426526151772,BEARISH,Technology
57,XBI,-204.61538461538464,-0.0950753706074706,-0.27915601455346006,-0.0950753706074706,696106.0,-0.00029394285441496646,BEARISH,Biotech
47,SRPT,-42.85714285714285,-0.10155721056194987,-0.7474312883957415,-0.10155721056194987,81132.0,-0.000528239694043569,BEARISH,Biotech
2,ADBE,-302.2100107514036,-0.01321598857530081,-0.29561893093427927,-0.01321598857530081,301456.0,-0.0010025012298690477,BEARISH,Software
14,FSLR,-2863.2874251497005,-0.04715014415613218,-0.4549474157246406,-0.05326137847761267,517667.0,-0.005531137633169007,BEARISH,Clean Energy
18,IBB,-562.8097465181777,-0.39214226542486363,-0.20794796249889935,0.2975647118309166,89184.0,-0.006310658262896682,BEARISH,Biotech
