,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
22,MA,1450.2013808975835,0.045230396208531996,-0.23889783623297814,0.041507665213073724,133707.0,1.0846114121905237,BULLISH,Financials
17,GS,247.81085814360767,0.011601631935562157,-0.29082994828084885,-0.011601631935562157,276128.0,0.08974492197227651,BULLISH,Financials
28,MSTR,1634.1087564851189,0.025665411737909507,-0.6621198699486538,-0.0018643004874058413,1911588.0,0.08548435941662738,BULLISH,Crypto
41,ROKU,166.9412410763316,0.022868663161141316,-0.5000423817556721,0.022868663161141316,226025.0,0.07385963547232899,BULLISH,Technology
37,QQQ,6257.535452703093,0.15101444485544865,-0.24335050573440842,-0.03547323621540307,8940959.0,0.06998729613571758,BULLISH,Index
10,CVNA,219.99024865919057,0.1931433263030646,-0.6783724214760476,0.1931433263030646,322977.0,0.0681132862894852,BULLISH,Auto Retail
24,MBLY,195.36555768938396,0.05394239946293556,-0.681972623020111,-0.05394239946293556,344747.0,0.056669255334893115,BULLISH,Automotive Tech
36,PM,52.19976218787159,0.08642344733091323,-0.26805629936546677,0.08642344733091323,230868.0,0.022610219774014412,BULLISH,Consumer Goods
7,COST,14.575242718446605,0.006207513934602472,-0.2749114465584503,0.006207513934602472,256943.0,0.005672558784806983,BULLISH,Retail
40,RIOT,13.411819021237298,0.02701096358561254,-1.0297832777534572,-0.02701096358561254,1212476.0,0.001106151298766928,BULLISH,Crypto
51,TSLA,35.08938961176346,0.008545881542075855,-0.6682780438337034,0.008545881542075855,8027321.0,0.0004371245352187044,BULLISH,EV
59,XLE,7.361963190184043,0.005315496888219526,-0.320511079494435,0.005315496888219526,2390224.0,0.000308003065410775,BULLISH,Energy
12,DIS,2.3081721771678088,0.0026996165814828174,-0.38645643530701757,0.0026996165814828174,901857.0,0.0002559354950028451,BULLISH,Entertainment
3,AMD,0.0,0.0,-0.4419195978129022,0.0,3647750.0,0.0,BEARISH,Semiconductor
1,ACHR,0.0,0.0,-1.1043277975083616,0.0,494706.0,0.0,BEARISH,eVTOL
0,AAPL,0.0,0.0,-0.3921475670348351,0.0,4958751.0,0.0,BEARISH,Technology
63,XLP,0.0,0.0,-0.2771072167333195,0.0,457799.0,0.0,BEARISH,Consumer Staples
9,CSIQ,0.0,0.0,-1.1443344006124083,0.0,72687.0,0.0,BEARISH,Clean Energy
11,DIA,0.0,0.026459906333313295,-0.1874923743538428,-0.026459906333313295,383647.0,0.0,BEARISH,Index
6,CAVA,0.0,0.0,-0.5674071839209398,0.0,158334.0,0.0,BEARISH,Restaurant
32,NVAX,0.0,0.0,-1.1915153046123796,0.0,290940.0,0.0,BEARISH,Biotech
29,MU,0.0,0.0,-0.4597339213862667,0.0,1938972.0,0.0,BEARISH,Semiconductor
16,GRAB,0.0,0.0,-1.5320986015774094,0.0,978647.0,0.0,BEARISH,Rideshare
21,JPM,0.0,0.0,-0.31297154096857793,0.0,796313.0,0.0,BEARISH,Financials
23,MARA,0.0,0.0,-1.017717691330338,0.0,1690852.0,0.0,BEARISH,Crypto
26,MRNA,0.0,0.0,-0.5971624092739444,0.0,837945.0,0.0,BEARISH,Biotech
27,MSFT,0.0,0.0,-0.3020201852326722,0.0,2183247.0,0.0,BEARISH,Technology
20,JOBY,0.0,0.0,-0.7964549682249137,0.0,198873.0,0.0,BEARISH,eVTOL
35,PLTR,0.0,0.0,-0.7760614185205973,0.0,3420898.0,0.0,BEARISH,Software
34,PDYN,0.0,0.0,-1.3495649399464402,0.0,7299.0,0.0,BEARISH,Technology
14,FSLR,0.0,0.0,-0.4949705059996555,0.0,531824.0,0.0,BEARISH,Clean Energy
13,ENVX,0.0,0.0,-1.2111864167296853,0.0,424296.0,0.0,BEARISH,Clean Energy
15,GOOGL,0.0,0.0,-0.355986239010429,0.0,3346524.0,0.0,BEARISH,Technology
8,CPRT,0.0,0.0,-0.21398802718981175,0.0,41699.0,0.0,BEARISH,Auto Services
5,BAC,0.0,0.0,-0.32494634307567893,0.0,3009743.0,0.0,BEARISH,Financials
4,AMZN,0.0,0.0,-0.3535450450837257,0.0,4078286.0,0.0,BEARISH,Other
65,XLU,0.0,0.0,-0.2733150214546555,0.0,666957.0,0.0,BEARISH,Utilities
52,TSM,0.0,0.0,-0.4339028838144484,0.0,1933707.0,0.0,BEARISH,Semiconductor
55,VKTX,0.0,0.0,-0.9987516651264392,0.0,199504.0,0.0,BEARISH,Biotech
54,V,0.0,0.0,-0.25197888883280756,0.0,323131.0,0.0,BEARISH,Financials
31,NOW,0.0,0.0,-0.35260740299271937,0.0,105282.0,0.0,BEARISH,Software
30,NBIS,0.0,0.0,-0.9760044392434686,0.0,378152.0,0.0,BEARISH,Technology
43,SGI,0.0,0.0,-0.2812378882860956,0.0,20239.0,0.0,BEARISH,Technology
42,SERV,0.0,0.0,-0.9325770863776408,0.0,82593.0,0.0,BEARISH,Services
47,SRPT,0.0,0.0,-0.7970507414014193,0.0,85804.0,0.0,BEARISH,Biotech
44,SGMO,0.0,0.0,-1.6392128211449795,0.0,84217.0,0.0,BEARISH,Biotech
46,SPY,0.0,0.0,-0.25270146534581656,0.0,16286469.0,0.0,BEARISH,Index
45,SPHR,0.0,0.0,-0.5048365971537999,0.0,43234.0,0.0,BEARISH,Technology
49,TNA,0.0,0.0,-0.749809418736632,0.0,281997.0,0.0,BEARISH,Leveraged Index
48,TCMD,0.0,0.0,-1.3835808086993244,0.0,3163.0,0.0,BEARISH,Healthcare
50,TQQQ,0.0,0.0,-0.7273780343920171,0.0,1027118.0,0.0,BEARISH,Leveraged Index
38,RBLX,0.0,0.0,-0.5651678279169917,0.0,438626.0,0.0,BEARISH,Software
58,XLB,0.0,0.0,-0.39013282676696776,0.0,544420.0,0.0,BEARISH,Materials
56,WGS,0.0,0.0,-0.9846185742077818,0.0,39992.0,0.0,BEARISH,Biotech
61,XLI,0.0,0.0,-0.3143657011035785,0.0,1086228.0,0.0,BEARISH,Industrials
60,XLF,0.0,0.0,-0.376137592306986,0.0,5359608.0,0.0,BEARISH,Financials
33,NVDA,-28.39478087291248,-0.004202930264680183,-0.3829866127861545,0.004202930264680183,21600030.0,-0.00013145713627672038,BEARISH,Semiconductor
19,IWM,-46.15384615384615,-0.006924263029146032,-0.2342215456983627,-0.006924263029146032,12147104.0,-0.00037995761091570593,BEARISH,Index
62,XLK,-16.27366550475019,-0.011566215710554507,-0.2749808658766323,-0.011566215710554507,382067.0,-0.004259374796763445,BEARISH,Technology
57,XBI,-77.77777777777777,-0.0646531818601644,-0.27556402508235434,-0.0646531818601644,702770.0,-0.011067316160020742,BEARISH,Biotech
39,RDDT,-46.78899082568806,-0.03536582828850193,-0.6843315381318408,0.03536582828850193,386204.0,-0.012115097416310568,BEARISH,Social Media
66,XLV,-60.042194092826996,-0.08135798657564633,-0.29962067779706425,-0.08135798657564633,391661.0,-0.015330143693864592,BEARISH,Healthcare
67,XLY,-56.90607734806631,-0.03140511994926397,-0.3438601358379171,0.03140511994926397,340243.0,-0.016725128025577695,BEARISH,Consumer Discretionary
25,META,-521.6988847806223,-0.02490968252860747,-0.35881792575218796,0.011957363253937349,2040202.0,-0.025570942719427895,BEARISH,Technology
53,U,-261.90476190476187,-0.08033888401986561,-0.6472732506575322,-0.08033888401986561,647806.0,-0.0404295054236549,BEARISH,Software
2,ADBE,-860.8968003250542,-0.03048649327214851,-0.3034087036259463,-0.07729089136708946,308001.0,-0.27951104065410637,BEARISH,Software
18,IBB,-696.0,-0.17827868852459017,-0.2212897388864736,-0.17827868852459017,104059.0,-0.6688513247292401,BEARISH,Biotech
64,XLRE,-5672.55149222363,0.046520360134045056,-0.2465938692187886,-0.046520360134045056,55249.0,-10.267247356918007,BEARISH,Real Estate
