,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date
88,GME,36560890.281949416,21.983315719819597,0.11132507115068106,16.613592131508327,1151434.0,317524.84538366436,BULLISH,2025-05-23,2025-05-22
105,INTU,1475525.2709608083,37.740191546772564,-0.007513923571069212,16.929516975341684,89529.0,164809.75672249307,BULLISH,2025-05-23,2025-05-22
171,PTON,7981400.545544187,20.676240369538746,0.1533251642650347,13.889697407928518,570032.0,140016.7103872096,BULLISH,2025-05-23,2025-05-22
56,CRWV,1921606.8986272784,8.01943364544234,-0.07668183839206037,-6.65108209452106,253502.0,75802.43542959339,BULLISH,2025-05-23,2025-05-22
24,BILL,501718.8514124529,-1.636721270707156,0.0239726957450253,0.636532645437759,79828.0,62849.983891924254,BULLISH,2025-05-23,2025-05-22
55,CRWD,1954371.5272524308,10.132371241812615,0.022319067712684715,5.963950497149924,360398.0,54228.14575143121,BULLISH,2025-05-23,2025-05-22
214,TEM,1606550.6869150738,9.496544267017368,0.04815716590341336,1.4652889982025847,300622.0,53440.8887877492,BULLISH,2025-05-23,2025-05-22
169,PM,1036819.8363169465,9.578959289284644,0.022424985525424664,4.968448546803985,234871.0,44144.22539679,BULLISH,2025-05-23,2025-05-22
206,SPOT,336477.8548122371,3.525183904862646,-0.008703573675525274,1.500551710035889,111158.0,30270.232894819725,BULLISH,2025-05-23,2025-05-22
74,ENPH,867681.4417555364,5.294923041391014,-0.011682981065194813,2.0378406217091274,315171.0,27530.49746821682,BULLISH,2025-05-23,2025-05-22
190,SE,838461.7245002284,4.928935620177199,0.0328872673669135,2.1273730650278804,313294.0,26762.776321928548,BULLISH,2025-05-23,2025-05-22
62,DASH,487375.2994812805,2.316088842425105,0.011507710312078553,4.661286827797187,211511.0,23042.550953911643,BULLISH,2025-05-23,2025-05-22
192,SEZL,27050.061898424454,5.938116675086466,-0.013419059398376848,-0.39190968024021583,13024.0,20769.396420780446,BULLISH,2025-05-23,2025-05-22
179,RDDT,644640.6233045801,3.5522234494124136,0.0030288247375732194,-0.18397477640373558,434989.0,14819.699424688442,BULLISH,2025-05-23,2025-05-22
60,CVX,784196.6963596686,2.613035566851722,0.01760247948231417,2.9426809123387785,598760.0,13097.01209766298,BULLISH,2025-05-23,2025-05-22
177,RBLX,2436339.9135933425,2.1409865633428242,0.009227325681761435,-0.4447764123794948,1882816.0,12939.872582309385,BULLISH,2025-05-23,2025-05-22
42,CLS,109015.33547240893,3.9724149311972377,0.013650661458344083,1.5039668279078204,101805.0,10708.249641216926,BULLISH,2025-05-23,2025-05-22
162,PDYN,12530.16619259748,3.129989724489851,0.05965494488260019,1.7979074547891605,11837.0,10585.592795976581,BULLISH,2025-05-23,2025-05-22
84,FUBO,395642.1436193304,7.2295323836885546,-0.050118705841548865,4.209693517253436,427789.0,9248.53475941014,BULLISH,2025-05-23,2025-05-22
96,HIMS,533514.853847492,-1.5679378121764662,0.03143220227980278,-0.09644900145261806,618780.0,8622.04424589502,BULLISH,2025-05-23,2025-05-22
78,EVGO,53086.23133176985,6.21201490367572,0.09585424832196303,2.0048812195035346,64046.0,8288.766094958288,BULLISH,2025-05-23,2025-05-22
111,JACK,13933.594523287304,-0.0714000343906136,0.01132179274857409,1.4315110620905016,17785.0,7834.464168280745,BULLISH,2025-05-23,2025-05-22
143,NEE,474071.087688144,5.991926976310288,0.004985159252391145,6.235836689229925,612333.0,7742.047018340413,BULLISH,2025-05-23,2025-05-22
59,CVNA,233999.28161177292,2.280176967320541,0.03685058569655954,1.6809391127288016,354309.0,6604.384354102575,BULLISH,2025-05-23,2025-05-22
82,FSLR,395729.22652359767,3.936184874968753,0.0214243380147344,0.7417395033718532,617841.0,6405.033439405894,BULLISH,2025-05-23,2025-05-22
85,FVRR,8638.641046810373,3.8107743998236154,0.01750391528379572,3.2519431569997943,13562.0,6369.7397484223375,BULLISH,2025-05-23,2025-05-22
10,AMC,726802.4039779467,3.1937070367661105,0.019017380815884385,2.177841550874818,1145600.0,6344.294727461127,BULLISH,2025-05-23,2025-05-22
49,CPNG,196454.37743909756,-19.335321130158754,0.009017196943124826,20.966863425065796,363285.0,5407.720589594878,BULLISH,2025-05-23,2025-05-22
160,PARA,367781.96479098435,21.094730679789453,-0.021956895615234368,20.212523950513035,779937.0,4715.534264831446,BULLISH,2025-05-23,2025-05-22
173,QBTS,227709.2584866788,3.443300982337453,0.27639515596345,-5.94506229935827,567822.0,4010.2225430976396,BULLISH,2025-05-23,2025-05-22
31,BTI,80330.94997151507,6.689437073535328,0.01456553026158175,2.8554758923038372,208073.0,3860.7099417759664,BULLISH,2025-05-23,2025-05-22
25,BKNG,14543.882529647015,0.7385411782594757,0.007041206143503443,0.036292691299057954,37734.0,3854.317731925324,BULLISH,2025-05-23,2025-05-22
202,SONY,37593.16867346676,3.0057456710996218,0.017118089157015258,-0.11044533010620951,99042.0,3795.679476733786,BULLISH,2025-05-23,2025-05-22
142,NBIS,96113.06542343835,-0.9879230658575898,0.05299591768629534,-1.1704633772916793,284785.0,3374.9342635124167,BULLISH,2025-05-23,2025-05-22
38,CFLT,47062.183867279404,0.4914981037845871,0.010778584954171477,0.0862172528256389,154393.0,3048.2070992389163,BULLISH,2025-05-23,2025-05-22
254,XLU,196470.1700097621,2.654560366602813,0.071087203745585,-0.37446800680022996,664147.0,2958.233192497476,BULLISH,2025-05-23,2025-05-22
