,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,trading_date,prev_trading_date
173,QBTS,148517849.10473895,83.86883633888985,0.18739726442152452,52.548477334640374,532926.0,2786838.1183267273,BULLISH,2025-05-20,2025-05-19
171,PTON,42196000.984164886,23.771598848650292,0.031758204671462634,21.65139624591754,431275.0,978401.2749212193,BULLISH,2025-05-20,2025-05-19
137,MRNA,15619873.456428738,23.27994561707934,-0.011941160547878757,13.762089837437896,819681.0,190560.39430496423,BULLISH,2025-05-20,2025-05-19
56,CRWV,4840790.761366034,12.767412268812862,0.01796933227330854,1.809748623697795,255880.0,189182.06821033428,BULLISH,2025-05-20,2025-05-19
208,SRPT,932532.2883133111,12.645671252178,-0.02971211013614429,5.725150552785759,105772.0,88164.38077310736,BULLISH,2025-05-20,2025-05-19
182,RIVN,15019816.949081456,17.879984910631578,0.03794246091152758,8.321503173497048,2511148.0,59812.55166593708,BULLISH,2025-05-20,2025-05-19
185,RTX,1072939.9595162855,-3.5738129232409186,0.022825508889823123,11.726432491751781,191920.0,55905.58355128624,BULLISH,2025-05-20,2025-05-19
176,QSR,162678.28300586226,0.21613796439254265,0.0017869119797049762,0.5855568184931244,30699.0,52991.39483561754,BULLISH,2025-05-20,2025-05-19
154,OCGN,149042.7965035168,0.9226473901170328,-0.1401240249399038,-0.8099314506168113,29323.0,50827.94956297677,BULLISH,2025-05-20,2025-05-19
202,SONY,481699.28804994444,10.097114518430544,-0.0029176756169865072,4.931646226624312,95136.0,50632.70350339981,BULLISH,2025-05-20,2025-05-19
246,XBI,2707679.5420122026,9.95053616414371,-0.0011977170833077006,2.4954953672765496,616850.0,43895.26695326583,BULLISH,2025-05-20,2025-05-19
79,EXR,13133.706561796453,4.760374419230115,-0.020244942485264372,2.8852590069516966,3128.0,41987.552946919604,BULLISH,2025-05-20,2025-05-19
33,CAKE,42311.70217364664,-1.0395162822410002,-0.018900970566693463,-2.017485079704209,12306.0,34382.98567661843,BULLISH,2025-05-20,2025-05-19
121,LMT,324449.92513177794,5.5654483523847516,7.721324413345902e-05,1.979522337865394,94985.0,34158.017069198075,BULLISH,2025-05-20,2025-05-19
162,PDYN,26474.317833218938,10.05129078178763,0.0034387370764690736,7.308545507449803,7909.0,33473.66017602597,BULLISH,2025-05-20,2025-05-19
194,SGI,35319.285714285696,0.8662927981109798,-0.005744312159010215,0.8190672963400234,12339.0,28624.107070496553,BULLISH,2025-05-20,2025-05-19
230,UL,86869.77577922241,6.966277283989176,0.02801785212791771,2.790812360007305,33178.0,26182.945258672135,BULLISH,2025-05-20,2025-05-19
58,CSIQ,188660.4458786112,11.018285535358055,-0.10388047125400643,6.4094647334510855,76346.0,24711.24169944872,BULLISH,2025-05-20,2025-05-19
40,CHWY,622121.6903588033,9.65170764811487,-0.010719662208716745,-0.05238150832116305,255256.0,24372.460994405745,BULLISH,2025-05-20,2025-05-19
